"  196","008080","QUALIFIER FOR GTSPP QUALITY FLAG","13"
"  197","033050","GLOBAL GTSPP QUALITY FLAG","9"
"  198","022043","SEA/WATER TEMPERATURE","22.620000000000005"
"  199","008080","QUALIFIER FOR GTSPP QUALITY FLAG","11"
"  200","033050","GLOBAL GTSPP QUALITY FLAG","1"
"  201","007063","DEPTH BELOW SEA/WATER SURFACE (M)","16.07"
"  202","008080","QUALIFIER FOR GTSPP QUALITY FLAG","13"
"  203","033050","GLOBAL GTSPP QUALITY FLAG","9"
"  204","022043","SEA/WATER TEMPERATURE","22.620000000000005"
"  205","008080","QUALIFIER FOR GTSPP QUALITY FLAG","11"
"  206","033050","GLOBAL GTSPP QUALITY FLAG","1"
"  207","007063","DEPTH BELOW SEA/WATER SURFACE (M)","16.74"
"  208","008080","QUALIFIER FOR GTSPP QUALITY FLAG","13"
"  209","033050","GLOBAL GTSPP QUALITY FLAG","9"
"  210","022043","SEA/WATER TEMPERATURE","22.620000000000005"
"  211","008080","QUALIFIER FOR GTSPP QUALITY FLAG","11"
"  212","033050","GLOBAL GTSPP QUALITY FLAG","1"
"  213","007063","DEPTH BELOW SEA/WATER SURFACE (M)","17.41"
"  214","008080","QUALIFIER FOR GTSPP QUALITY FLAG","13"
"  215","033050","GLOBAL GTSPP QUALITY FLAG","9"
"  216","022043","SEA/WATER TEMPERATURE","22.620000000000005"
"  217","008080","QUALIFIER FOR GTSPP QUALITY FLAG","11"
"  218","033050","GLOBAL GTSPP QUALITY FLAG","1"
"  219","007063","DEPTH BELOW SEA/WATER SURFACE (M)","18.08"
"  220","008080","QUALIFIER FOR GTSPP QUALITY FLAG","13"
"  221","033050","GLOBAL GTSPP QUALITY FLAG","9"
"  222","022043","SEA/WATER TEMPERATURE","22.620000000000005"
"  223","008080","QUALIFIER FOR GTSPP QUALITY FLAG","11"
"  224","033050","GLOBAL GTSPP QUALITY FLAG","1"
"  225","007063","DEPTH BELOW SEA/WATER SURFACE (M)","18.75"
"  226","008080","QUALIFIER FOR GTSPP QUALITY FLAG","13"
"  227","033050","GLOBAL GTSPP QUALITY FLAG","9"
"  228","022043","SEA/WATER TEMPERATURE","22.620000000000005"
"  229","008080","QUALIFIER FOR GTSPP QUALITY FLAG","11"
"  230","033050","GLOBAL GTSPP QUALITY FLAG","1"
"  231","007063","DEPTH BELOW SEA/WATER SURFACE (M)","19.42"
"  232","008080","QUALIFIER FOR GTSPP QUALITY FLAG","13"
"  233","033050","GLOBAL GTSPP QUALITY FLAG","9"
"  234","022043","SEA/WATER TEMPERATURE","22.620000000000005"
"  235","008080","QUALIFIER FOR GTSPP QUALITY FLAG","11"
"  236","033050","GLOBAL GTSPP QUALITY FLAG","1"
"  237","007063","DEPTH BELOW SEA/WATER SURFACE (M)","20.09"
"  238","008080","QUALIFIER FOR GTSPP QUALITY FLAG","13"
"  239","033050","GLOBAL GTSPP QUALITY FLAG","9"
"  240","022043","SEA/WATER TEMPERATURE","22.620000000000005"
"  241","008080","QUALIFIER FOR GTSPP QUALITY FLAG","11"
"  242","033050","GLOBAL GTSPP QUALITY FLAG","1"
"  243","007063","DEPTH BELOW SEA/WATER SURFACE (M)","20.76"
"  244","008080","QUALIFIER FOR GTSPP QUALITY FLAG","13"
"  245","033050","GLOBAL GTSPP QUALITY FLAG","9"
"  246","022043","SEA/WATER TEMPERATURE","22.620000000000005"
"  247","008080","QUALIFIER FOR GTSPP QUALITY FLAG","11"
"  248","033050","GLOBAL GTSPP QUALITY FLAG","1"
"  249","007063","DEPTH BELOW SEA/WATER SURFACE (M)","21.43"
"  250","008080","QUALIFIER FOR GTSPP QUALITY FLAG","13"
"  251","033050","GLOBAL GTSPP QUALITY FLAG","9"
"  252","022043","SEA/WATER TEMPERATURE","22.620000000000005"
"  253","008080","QUALIFIER FOR GTSPP QUALITY FLAG","11"
"  254","033050","GLOBAL GTSPP QUALITY FLAG","1"
"  255","007063","DEPTH BELOW SEA/WATER SURFACE (M)","22.1"
"  256","008080","QUALIFIER FOR GTSPP QUALITY FLAG","13"
"  257","033050","GLOBAL GTSPP QUALITY FLAG","9"
"  258","022043","SEA/WATER TEMPERATURE","22.620000000000005"
"  259","008080","QUALIFIER FOR GTSPP QUALITY FLAG","11"
"  260","033050","GLOBAL GTSPP QUALITY FLAG","1"
"  261","007063","DEPTH BELOW SEA/WATER SURFACE (M)","22.78"
"  262","008080","QUALIFIER FOR GTSPP QUALITY FLAG","13"
"  263","033050","GLOBAL GTSPP QUALITY FLAG","9"
"  264","022043","SEA/WATER TEMPERATURE","22.620000000000005"
"  265","008080","QUALIFIER FOR GTSPP QUALITY FLAG","11"
"  266","033050","GLOBAL GTSPP QUALITY FLAG","1"
"  267","007063","DEPTH BELOW SEA/WATER SURFACE (M)","23.45"
"  268","008080","QUALIFIER FOR GTSPP QUALITY FLAG","13"
"  269","033050","GLOBAL GTSPP QUALITY FLAG","9"
"  270","022043","SEA/WATER TEMPERATURE","22.620000000000005"
"  271","008080","QUALIFIER FOR GTSPP QUALITY FLAG","11"
"  272","033050","GLOBAL GTSPP QUALITY FLAG","1"
"  273","007063","DEPTH BELOW SEA/WATER SURFACE (M)","24.12"
"  274","008080","QUALIFIER FOR GTSPP QUALITY FLAG","13"
"  275","033050","GLOBAL GTSPP QUALITY FLAG","9"
"  276","022043","SEA/WATER TEMPERATURE","22.620000000000005"
"  277","008080","QUALIFIER FOR GTSPP QUALITY FLAG","11"
"  278","033050","GLOBAL GTSPP QUALITY FLAG","1"
"  279","007063","DEPTH BELOW SEA/WATER SURFACE (M)","24.79"
"  280","008080","QUALIFIER FOR GTSPP QUALITY FLAG","13"
"  281","033050","GLOBAL GTSPP QUALITY FLAG","9"
"  282","022043","SEA/WATER TEMPERATURE","22.620000000000005"
"  283","008080","QUALIFIER FOR GTSPP QUALITY FLAG","11"
"  284","033050","GLOBAL GTSPP QUALITY FLAG","1"
"  285","007063","DEPTH BELOW SEA/WATER SURFACE (M)","25.46"
"  286","008080","QUALIFIER FOR GTSPP QUALITY FLAG","13"
"  287","033050","GLOBAL GTSPP QUALITY FLAG","9"
"  288","022043","SEA/WATER TEMPERATURE","22.620000000000005"
"  289","008080","QUALIFIER FOR GTSPP QUALITY FLAG","11"
"  290","033050","GLOBAL GTSPP QUALITY FLAG","1"
"  291","007063","DEPTH BELOW SEA/WATER SURFACE (M)","26.13"
"  292","008080","QUALIFIER FOR GTSPP QUALITY FLAG","13"
"  293","033050","GLOBAL GTSPP QUALITY FLAG","9"
"  294","022043","SEA/WATER TEMPERATURE","22.620000000000005"
"  295","008080","QUALIFIER FOR GTSPP QUALITY FLAG","11"
"  296","033050","GLOBAL GTSPP QUALITY FLAG","1"
"  297","007063","DEPTH BELOW SEA/WATER SURFACE (M)","26.8"
"  298","008080","QUALIFIER FOR GTSPP QUALITY FLAG","13"
"  299","033050","GLOBAL GTSPP QUALITY FLAG","9"
"  300","022043","SEA/WATER TEMPERATURE","22.620000000000005"
"  301","008080","QUALIFIER FOR GTSPP QUALITY FLAG","11"
"  302","033050","GLOBAL GTSPP QUALITY FLAG","1"
"  303","007063","DEPTH BELOW SEA/WATER SURFACE (M)","27.47"
"  304","008080","QUALIFIER FOR GTSPP QUALITY FLAG","13"
"  305","033050","GLOBAL GTSPP QUALITY FLAG","9"
"  306","022043","SEA/WATER TEMPERATURE","22.620000000000005"
"  307","008080","QUALIFIER FOR GTSPP QUALITY FLAG","11"
"  308","033050","GLOBAL GTSPP QUALITY FLAG","1"
"  309","007063","DEPTH BELOW SEA/WATER SURFACE (M)","28.14"
"  310","008080","QUALIFIER FOR GTSPP QUALITY FLAG","13"
"  311","033050","GLOBAL GTSPP QUALITY FLAG","9"
"  312","022043","SEA/WATER TEMPERATURE","22.620000000000005"
"  313","008080","QUALIFIER FOR GTSPP QUALITY FLAG","11"
"  314","033050","GLOBAL GTSPP QUALITY FLAG","1"
"  315","007063","DEPTH BELOW SEA/WATER SURFACE (M)","28.81"
"  316","008080","QUALIFIER FOR GTSPP QUALITY FLAG","13"
"  317","033050","GLOBAL GTSPP QUALITY FLAG","9"
"  318","022043","SEA/WATER TEMPERATURE","22.620000000000005"
"  319","008080","QUALIFIER FOR GTSPP QUALITY FLAG","11"
"  320","033050","GLOBAL GTSPP QUALITY FLAG","1"
"  321","007063","DEPTH BELOW SEA/WATER SURFACE (M)","29.48"
"  322","008080","QUALIFIER FOR GTSPP QUALITY FLAG","13"
"  323","033050","GLOBAL GTSPP QUALITY FLAG","9"
"  324","022043","SEA/WATER TEMPERATURE","22.620000000000005"
"  325","008080","QUALIFIER FOR GTSPP QUALITY FLAG","11"
"  326","033050","GLOBAL GTSPP QUALITY FLAG","1"
"  327","007063","DEPTH BELOW SEA/WATER SURFACE (M)","30.16"
"  328","008080","QUALIFIER FOR GTSPP QUALITY FLAG","13"
"  329","033050","GLOBAL GTSPP QUALITY FLAG","9"
"  330","022043","SEA/WATER TEMPERATURE","22.620000000000005"
"  331","008080","QUALIFIER FOR GTSPP QUALITY FLAG","11"
"  332","033050","GLOBAL GTSPP QUALITY FLAG","1"
"  333","007063","DEPTH BELOW SEA/WATER SURFACE (M)","30.83"
"  334","008080","QUALIFIER FOR GTSPP QUALITY FLAG","13"
"  335","033050","GLOBAL GTSPP QUALITY FLAG","9"
"  336","022043","SEA/WATER TEMPERATURE","22.620000000000005"
"  337","008080","QUALIFIER FOR GTSPP QUALITY FLAG","11"
"  338","033050","GLOBAL GTSPP QUALITY FLAG","1"
"  339","007063","DEPTH BELOW SEA/WATER SURFACE (M)","31.5"
"  340","008080","QUALIFIER FOR GTSPP QUALITY FLAG","13"
"  341","033050","GLOBAL GTSPP QUALITY FLAG","9"
"  342","022043","SEA/WATER TEMPERATURE","22.620000000000005"
"  343","008080","QUALIFIER FOR GTSPP QUALITY FLAG","11"
"  344","033050","GLOBAL GTSPP QUALITY FLAG","1"
"  345","007063","DEPTH BELOW SEA/WATER SURFACE (M)","32.17"
"  346","008080","QUALIFIER FOR GTSPP QUALITY FLAG","13"
"  347","033050","GLOBAL GTSPP QUALITY FLAG","9"
"  348","022043","SEA/WATER TEMPERATURE","22.620000000000005"
"  349","008080","QUALIFIER FOR GTSPP QUALITY FLAG","11"
"  350","033050","GLOBAL GTSPP QUALITY FLAG","1"
"  351","007063","DEPTH BELOW SEA/WATER SURFACE (M)","32.84"
"  352","008080","QUALIFIER FOR GTSPP QUALITY FLAG","13"
"  353","033050","GLOBAL GTSPP QUALITY FLAG","9"
"  354","022043","SEA/WATER TEMPERATURE","22.620000000000005"
"  355","008080","QUALIFIER FOR GTSPP QUALITY FLAG","11"
"  356","033050","GLOBAL GTSPP QUALITY FLAG","1"
"  357","007063","DEPTH BELOW SEA/WATER SURFACE (M)","33.51"
"  358","008080","QUALIFIER FOR GTSPP QUALITY FLAG","13"
"  359","033050","GLOBAL GTSPP QUALITY FLAG","9"
"  360","022043","SEA/WATER TEMPERATURE","22.620000000000005"
"  361","008080","QUALIFIER FOR GTSPP QUALITY FLAG","11"
"  362","033050","GLOBAL GTSPP QUALITY FLAG","1"
"  363","007063","DEPTH BELOW SEA/WATER SURFACE (M)","34.18"
"  364","008080","QUALIFIER FOR GTSPP QUALITY FLAG","13"
"  365","033050","GLOBAL GTSPP QUALITY FLAG","9"
"  366","022043","SEA/WATER TEMPERATURE","22.620000000000005"
"  367","008080","QUALIFIER FOR GTSPP QUALITY FLAG","11"
"  368","033050","GLOBAL GTSPP QUALITY FLAG","1"
"  369","007063","DEPTH BELOW SEA/WATER SURFACE (M)","34.85"
"  370","008080","QUALIFIER FOR GTSPP QUALITY FLAG","13"
"  371","033050","GLOBAL GTSPP QUALITY FLAG","9"
"  372","022043","SEA/WATER TEMPERATURE","22.620000000000005"
"  373","008080","QUALIFIER FOR GTSPP QUALITY FLAG","11"
"  374","033050","GLOBAL GTSPP QUALITY FLAG","1"
"  375","007063","DEPTH BELOW SEA/WATER SURFACE (M)","35.53"
"  376","008080","QUALIFIER FOR GTSPP QUALITY FLAG","13"
"  377","033050","GLOBAL GTSPP QUALITY FLAG","9"
"  378","022043","SEA/WATER TEMPERATURE","22.620000000000005"
"  379","008080","QUALIFIER FOR GTSPP QUALITY FLAG","11"
"  380","033050","GLOBAL GTSPP QUALITY FLAG","1"
"  381","007063","DEPTH BELOW SEA/WATER SURFACE (M)","36.2"
"  382","008080","QUALIFIER FOR GTSPP QUALITY FLAG","13"
"  383","033050","GLOBAL GTSPP QUALITY FLAG","9"
"  384","022043","SEA/WATER TEMPERATURE","22.620000000000005"
"  385","008080","QUALIFIER FOR GTSPP QUALITY FLAG","11"
"  386","033050","GLOBAL GTSPP QUALITY FLAG","1"
"  387","007063","DEPTH BELOW SEA/WATER SURFACE (M)","36.87"
"  388","008080","QUALIFIER FOR GTSPP QUALITY FLAG","13"
"  389","033050","GLOBAL GTSPP QUALITY FLAG","9"
"  390","022043","SEA/WATER TEMPERATURE","22.620000000000005"
"  391","008080","QUALIFIER FOR GTSPP QUALITY FLAG","11"
"  392","033050","GLOBAL GTSPP QUALITY FLAG","1"
"  393","007063","DEPTH BELOW SEA/WATER SURFACE (M)","37.54"
"  394","008080","QUALIFIER FOR GTSPP QUALITY FLAG","13"
"  395","033050","GLOBAL GTSPP QUALITY FLAG","9"
"  396","022043","SEA/WATER TEMPERATURE","22.620000000000005"
"  397","008080","QUALIFIER FOR GTSPP QUALITY FLAG","11"
"  398","033050","GLOBAL GTSPP QUALITY FLAG","1"
"  399","007063","DEPTH BELOW SEA/WATER SURFACE (M)","38.21"
